0.0	bank_c2_+0.015_+0.000	0
0.0	bank_c2_+0.015_-0.015	0
0.0	bank_c2_+0.015_+0.000	3
0.0	bank_c2_+0.015_+0.000	4
0.0	bank_c2_+0.015_+0.000	5
0.0	bank_c2_+0.015_+0.000	6
0.0	bank_c2_+0.015_+0.000	7
0.0	bank_c2_+0.015_+0.000	8
0.0	bank_c2_+0.015_+0.000	9
0.0	bank_c2_+0.015_+0.000	10
0.0	bank_c2_+0.015_+0.000	11
0.0	bank_c2_+0.015_-0.015	2
0.0	bank_c2_+0.015_-0.015	3
0.0	bank_c2_+0.015_-0.015	4
0.0	bank_c2_+0.015_-0.015	5
0.0	bank_c2_+0.015_-0.015	6
0.0	bank_c2_+0.015_-0.015	7
0.0	bank_c2_+0.015_-0.015	8
0.0	bank_c2_+0.015_-0.015	9
0.0	bank_c2_+0.015_-0.015	10
0.0	bank_c2_+0.015_-0.015	11
0.0	bank_c3_r7_a-15	0
0.0	bank_c3_r7_a-15	2
0.0	bank_c3_r7_a-15	3
0.0	bank_c3_r7_a-15	4
0.0	bank_c3_r7_a-15	5
0.0	bank_c3_r7_a-15	6
0.0	bank_c3_r7_a-15	7
0.0	bank_c3_r7_a-15	8
0.0	bank_c3_r7_a-15	9
0.0	bank_c3_r7_a-15	10
0.0	bank_c3_r7_a-15	11
30.0	bank_c2_+0.015_+0.000	0
30.0	bank_c2_+0.015_+0.000	1
30.0	bank_c2_+0.015_+0.000	2
30.0	bank_c2_+0.015_+0.000	3
30.0	bank_c2_+0.015_+0.000	4
30.0	bank_c2_+0.015_+0.000	5
30.0	bank_c2_+0.015_+0.000	6
30.0	bank_c2_+0.015_+0.000	7
30.0	bank_c2_+0.015_+0.000	8
30.0	bank_c2_+0.015_+0.000	9
30.0	bank_c2_+0.015_+0.000	10
30.0	bank_c2_+0.015_+0.000	11
30.0	bank_c2_+0.015_-0.015	1
30.0	bank_c2_+0.015_-0.015	3
30.0	bank_c2_+0.015_-0.015	4
30.0	bank_c2_+0.015_-0.015	5
30.0	bank_c2_+0.015_-0.015	6
30.0	bank_c2_+0.015_-0.015	7
30.0	bank_c2_+0.015_-0.015	8
30.0	bank_c2_+0.015_-0.015	9
30.0	bank_c2_+0.015_-0.015	10
30.0	bank_c2_+0.015_-0.015	11
30.0	bank_c3_r7_a-15	0
30.0	bank_c3_r7_a-15	1
30.0	bank_c3_r7_a-15	3
30.0	bank_c3_r7_a-15	4
30.0	bank_c3_r7_a-15	5
30.0	bank_c3_r7_a-15	6
30.0	bank_c3_r7_a-15	7
30.0	bank_c3_r7_a-15	8
30.0	bank_c3_r7_a-15	9
30.0	bank_c3_r7_a-15	10
30.0	bank_c3_r7_a-15	11
60.0	bank_c2_+0.015_+0.000	1
60.0	bank_c2_+0.015_+0.000	3
60.0	bank_c2_+0.015_+0.000	4
60.0	bank_c2_+0.015_+0.000	5
60.0	bank_c2_+0.015_+0.000	6
60.0	bank_c2_+0.015_+0.000	7
60.0	bank_c2_+0.015_+0.000	8
60.0	bank_c2_+0.015_+0.000	9
60.0	bank_c2_+0.015_+0.000	10
60.0	bank_c2_+0.015_+0.000	11
60.0	bank_c2_+0.015_-0.015	0
60.0	bank_c2_+0.015_-0.015	1
60.0	bank_c2_+0.015_-0.015	3
60.0	bank_c2_+0.015_-0.015	4
60.0	bank_c2_+0.015_-0.015	5
60.0	bank_c2_+0.015_-0.015	6
60.0	bank_c2_+0.015_-0.015	7
60.0	bank_c2_+0.015_-0.015	8
60.0	bank_c2_+0.015_-0.015	9
60.0	bank_c2_+0.015_-0.015	10
60.0	bank_c2_+0.015_-0.015	11
60.0	bank_c3_r7_a-15	3
60.0	bank_c3_r7_a-15	4
60.0	bank_c3_r7_a-15	5
60.0	bank_c3_r7_a-15	6
60.0	bank_c3_r7_a-15	7
60.0	bank_c3_r7_a-15	8
60.0	bank_c3_r7_a-15	9
60.0	bank_c3_r7_a-15	10
60.0	bank_c3_r7_a-15	11
90.0	bank_c2_+0.015_+0.000	3
90.0	bank_c2_+0.015_+0.000	4
90.0	bank_c2_+0.015_+0.000	5
90.0	bank_c2_+0.015_+0.000	6
90.0	bank_c2_+0.015_+0.000	7
90.0	bank_c2_+0.015_+0.000	8
90.0	bank_c2_+0.015_+0.000	9
90.0	bank_c2_+0.015_+0.000	10
90.0	bank_c2_+0.015_+0.000	11
90.0	bank_c2_+0.015_-0.015	3
90.0	bank_c2_+0.015_-0.015	4
90.0	bank_c2_+0.015_-0.015	5
90.0	bank_c2_+0.015_-0.015	6
90.0	bank_c2_+0.015_-0.015	7
90.0	bank_c2_+0.015_-0.015	8
90.0	bank_c2_+0.015_-0.015	9
90.0	bank_c2_+0.015_-0.015	10
90.0	bank_c2_+0.015_-0.015	11
90.0	bank_c3_r7_a-15	0
90.0	bank_c3_r7_a-15	2
90.0	bank_c3_r7_a-15	3
90.0	bank_c3_r7_a-15	4
90.0	bank_c3_r7_a-15	5
90.0	bank_c3_r7_a-15	6
90.0	bank_c3_r7_a-15	7
90.0	bank_c3_r7_a-15	8
90.0	bank_c3_r7_a-15	9
90.0	bank_c3_r7_a-15	10
90.0	bank_c3_r7_a-15	11
