fixture,seed,V_levi,E_levi,n_iter,t_total_s,t_per_iter_ms,edge_crossings
canonical,0,31,32,100,0.01844956399872899,0.1844956399872899,4
canonical,1,31,32,100,0.006631348005612381,0.06631348005612381,4
canonical,2,31,32,100,0.006757014998584054,0.06757014998584054,7
canonical,3,31,32,100,0.006903172004967928,0.06903172004967928,3
canonical,4,31,32,100,0.0066487800067989156,0.06648780006798916,2
mnist_adj,0,7882,13280,50,138.91695610700117,2778.3391221400234,3009650
mnist_adj,1,7882,13280,50,131.21578623399546,2624.315724679909,2809148
mnist_adj,2,7882,13280,50,130.42082732099516,2608.416546419903,2506625
synthetic_10000,0,35000,103231,20,1739.3099002030067,86965.49501015033,-1
