node_count,run_index,run_ms
10,1,0.003406
10,2,0.000651
10,3,0.000470
10,4,0.000611
10,5,0.000531
10,6,0.000431
10,7,0.000441
10,8,0.000420
10,9,0.000431
10,10,0.000431
10,11,0.000441
10,12,0.000441
10,13,0.000471
10,14,0.000451
10,15,0.000441
10,16,0.000451
10,17,0.000421
10,18,0.000440
10,19,0.000450
10,20,0.000451
10,21,0.000471
10,22,0.000451
10,23,0.000471
10,24,0.000451
10,25,0.000421
10,26,0.000441
10,27,0.000441
10,28,0.000421
10,29,0.000441
10,30,0.000420
10,31,0.000431
10,32,0.000421
10,33,0.000531
10,34,0.000471
10,35,0.000461
10,36,0.000461
10,37,0.000471
10,38,0.000431
10,39,0.000441
10,40,0.000441
10,41,0.000461
10,42,0.000451
10,43,0.000471
10,44,0.000471
10,45,0.000440
10,46,0.000481
10,47,0.000451
10,48,0.000421
10,49,0.000431
10,50,0.000451
10,51,0.000451
10,52,0.000421
10,53,0.000431
10,54,0.000551
10,55,0.000441
10,56,0.000461
10,57,0.000491
10,58,0.000471
10,59,0.000420
10,60,0.000401
10,61,0.000411
10,62,0.000451
10,63,0.000421
10,64,0.000411
10,65,0.000431
10,66,0.000471
10,67,0.000461
10,68,0.000440
10,69,0.000441
10,70,0.000461
10,71,0.000431
10,72,0.000431
10,73,0.000451
10,74,0.000601
10,75,0.000421
10,76,0.000421
10,77,0.000451
10,78,0.000451
10,79,0.000451
10,80,0.000431
10,81,0.000440
10,82,0.000450
10,83,0.000461
10,84,0.000451
10,85,0.000461
10,86,0.000431
10,87,0.000441
10,88,0.000441
10,89,0.000461
10,90,0.000431
10,91,0.000441
10,92,0.000420
10,93,0.000430
10,94,0.000431
10,95,0.000511
10,96,0.000451
10,97,0.000491
10,98,0.000471
10,99,0.000441
10,100,0.000451
100,1,0.009969
100,2,0.004378
100,3,0.003607
100,4,0.003386
100,5,0.004748
100,6,0.003717
100,7,0.003486
100,8,0.003537
100,9,0.003587
100,10,0.003647
100,11,0.003516
100,12,0.003447
100,13,0.003607
100,14,0.003557
100,15,0.003657
100,16,0.003767
100,17,0.003827
100,18,0.003807
100,19,0.003547
100,20,0.004709
100,21,0.003687
100,22,0.003577
100,23,0.004629
100,24,0.003537
100,25,0.003817
100,26,0.004809
100,27,0.003687
100,28,0.004559
100,29,0.003787
100,30,0.003537
100,31,0.003506
100,32,0.004449
100,33,0.003587
100,34,0.003596
100,35,0.003667
100,36,0.003437
100,37,0.004649
100,38,0.003536
100,39,0.003556
100,40,0.003507
100,41,0.004408
100,42,0.003647
100,43,0.004789
100,44,0.003597
100,45,0.004539
100,46,0.003587
100,47,0.004870
100,48,0.004679
100,49,0.003586
100,50,0.004659
100,51,0.003517
100,52,0.004468
100,53,0.004588
100,54,0.002936
100,55,0.002865
100,56,0.002876
100,57,0.003767
100,58,0.002905
100,59,0.003868
100,60,0.003927
100,61,0.002996
100,62,0.002875
100,63,0.003727
100,64,0.002895
100,65,0.002896
100,66,0.002875
100,67,0.002956
100,68,0.003727
100,69,0.002945
100,70,0.002876
100,71,0.003637
100,72,0.002925
100,73,0.003828
100,74,0.002935
100,75,0.002876
100,76,0.002965
100,77,0.003677
100,78,0.002926
100,79,0.002875
100,80,0.002875
100,81,0.003386
100,82,0.005210
100,83,0.005861
100,84,0.003527
100,85,0.003687
100,86,0.003467
100,87,0.003426
100,88,0.003046
100,89,0.002896
100,90,0.002895
100,91,0.003086
100,92,0.003086
100,93,0.003086
100,94,0.003086
100,95,0.003085
100,96,0.003085
100,97,0.003086
100,98,0.003096
100,99,0.003106
100,100,0.003086
200,1,0.012935
200,2,0.007734
200,3,0.007244
200,4,0.005971
200,5,0.005932
200,6,0.005921
200,7,0.005911
200,8,0.005881
200,9,0.005911
200,10,0.005892
200,11,0.005891
200,12,0.005931
200,13,0.006051
200,14,0.005932
200,15,0.005911
200,16,0.005881
200,17,0.005981
200,18,0.008366
200,19,0.006753
200,20,0.008035
200,21,0.008065
200,22,0.007083
200,23,0.008486
200,24,0.007284
200,25,0.007123
200,26,0.007274
200,27,0.007264
200,28,0.008275
200,29,0.008475
200,30,0.007454
200,31,0.008225
200,32,0.007865
200,33,0.008025
200,34,0.007695
200,35,0.008526
200,36,0.007624
200,37,0.007575
200,38,0.007764
200,39,0.007815
200,40,0.007805
200,41,0.015589
200,42,0.007585
200,43,0.007284
200,44,0.008185
200,45,0.007544
200,46,0.007324
200,47,0.007154
200,48,0.007213
200,49,0.007194
200,50,0.008446
200,51,0.005991
200,52,0.005912
200,53,0.006953
200,54,0.007113
200,55,0.006703
200,56,0.007073
200,57,0.007254
200,58,0.006983
200,59,0.007124
200,60,0.007294
200,61,0.007754
200,62,0.008536
200,63,0.007575
200,64,0.007554
200,65,0.007735
200,66,0.007384
200,67,0.007414
200,68,0.007233
200,69,0.007875
200,70,0.007905
200,71,0.006994
200,72,0.007474
200,73,0.007263
200,74,0.007014
200,75,0.007263
200,76,0.008455
200,77,0.007985
200,78,0.006041
200,79,0.005971
200,80,0.005912
200,81,0.006081
200,82,0.005891
200,83,0.005911
200,84,0.006021
200,85,0.006051
200,86,0.005912
200,87,0.005981
200,88,0.005901
200,89,0.005901
200,90,0.005891
200,91,0.005902
200,92,0.005891
200,93,0.005891
200,94,0.005901
200,95,0.005921
200,96,0.005902
200,97,0.005881
200,98,0.005891
200,99,0.005961
200,100,0.005891
500,1,0.019106
500,2,0.016090
500,3,0.014067
500,4,0.013666
500,5,0.014607
500,6,0.013616
500,7,0.013576
500,8,0.013595
500,9,0.013546
500,10,0.013586
500,11,0.015549
500,12,0.013656
500,13,0.013575
500,14,0.013526
500,15,0.013566
500,16,0.013545
500,17,0.014618
500,18,0.013665
500,19,0.013586
500,20,0.013706
500,21,0.013495
500,22,0.013516
500,23,0.013586
500,24,0.013535
500,25,0.013566
500,26,0.013545
500,27,0.014418
500,28,0.014617
500,29,0.013616
500,30,0.013525
500,31,0.014548
500,32,0.024747
500,33,0.013746
500,34,0.013535
500,35,0.013576
500,36,0.014848
500,37,0.014718
500,38,0.013525
500,39,0.013626
500,40,0.013555
500,41,0.013535
500,42,0.013516
500,43,0.013565
500,44,0.013506
500,45,0.013575
500,46,0.013546
500,47,0.013606
500,48,0.013635
500,49,0.013516
500,50,0.013716
500,51,0.013545
500,52,0.013616
500,53,0.013686
500,54,0.013736
500,55,0.013766
500,56,0.013626
500,57,0.015118
500,58,0.014107
500,59,0.013886
500,60,0.015499
500,61,0.017573
500,62,0.017222
500,63,0.019527
500,64,0.017373
500,65,0.017493
500,66,0.017222
500,67,0.018375
500,68,0.019056
500,69,0.018114
500,70,0.017453
500,71,0.017723
500,72,0.017292
500,73,0.017163
500,74,0.019466
500,75,0.017644
500,76,0.018515
500,77,0.020288
500,78,0.018796
500,79,0.017783
500,80,0.017413
500,81,0.014998
500,82,0.013516
500,83,0.015239
500,84,0.017934
500,85,0.017783
500,86,0.019457
500,87,0.019036
500,88,0.018274
500,89,0.018064
500,90,0.018756
500,91,0.017874
500,92,0.019246
500,93,0.018415
500,94,0.030137
500,95,0.018244
500,96,0.019276
500,97,0.017883
500,98,0.015339
500,99,0.013536
500,100,0.013535
1000,1,0.035126
1000,2,0.032852
1000,3,0.034114
1000,4,0.032982
1000,5,0.028213
1000,6,0.034775
1000,7,0.036228
1000,8,0.038322
1000,9,0.041588
1000,10,0.038082
1000,11,0.037190
1000,12,0.035086
1000,13,0.028644
1000,14,0.027753
1000,15,0.034174
1000,16,0.034645
1000,17,0.035727
1000,18,0.036058
1000,19,0.046888
1000,20,0.033994
1000,21,0.034826
1000,22,0.030518
1000,23,0.026630
1000,24,0.028473
1000,25,0.026459
1000,26,0.026429
1000,27,0.029947
1000,28,0.029375
1000,29,0.034545
1000,30,0.035167
1000,31,0.036849
1000,32,0.038312
1000,33,0.039765
1000,34,0.030307
1000,35,0.030687
1000,36,0.034555
1000,37,0.034996
1000,38,0.026620
1000,39,0.026841
1000,40,0.035517
1000,41,0.033252
1000,42,0.026530
1000,43,0.028534
1000,44,0.034525
1000,45,0.028354
1000,46,0.026540
1000,47,0.027031
1000,48,0.028594
1000,49,0.028263
1000,50,0.026560
1000,51,0.034585
1000,52,0.026721
1000,53,0.026490
1000,54,0.026500
1000,55,0.026460
1000,56,0.026500
1000,57,0.026550
1000,58,0.026470
1000,59,0.026490
1000,60,0.026439
1000,61,0.026480
1000,62,0.026430
1000,63,0.026390
1000,64,0.026560
1000,65,0.026490
1000,66,0.026450
1000,67,0.026480
1000,68,0.026440
1000,69,0.026470
1000,70,0.026470
1000,71,0.026510
1000,72,0.026479
1000,73,0.026560
1000,74,0.026500
1000,75,0.026610
1000,76,0.026500
1000,77,0.026490
1000,78,0.026460
1000,79,0.026399
1000,80,0.026440
1000,81,0.026530
1000,82,0.026500
1000,83,0.026560
1000,84,0.026510
1000,85,0.026621
1000,86,0.026399
1000,87,0.026360
1000,88,0.026690
1000,89,0.035888
1000,90,0.026430
1000,91,0.026389
1000,92,0.026420
1000,93,0.026290
1000,94,0.026460
1000,95,0.026420
1000,96,0.026409
1000,97,0.026460
1000,98,0.026410
1000,99,0.026430
1000,100,0.026500
2000,1,0.072547
2000,2,0.062858
2000,3,0.055465
2000,4,0.066545
2000,5,0.052399
2000,6,0.051707
2000,7,0.053201
2000,8,0.051016
2000,9,0.050906
2000,10,0.051286
2000,11,0.051347
2000,12,0.051227
2000,13,0.051126
2000,14,0.051237
2000,15,0.051046
2000,16,0.051146
2000,17,0.051046
2000,18,0.055143
2000,19,0.058060
2000,20,0.051617
2000,21,0.050686
2000,22,0.050675
2000,23,0.068379
2000,24,0.051497
2000,25,0.050796
2000,26,0.050585
2000,27,0.050646
2000,28,0.050595
2000,29,0.050686
2000,30,0.050555
2000,31,0.050615
2000,32,0.050636
2000,33,0.050645
2000,34,0.050605
2000,35,0.051136
2000,36,0.051036
2000,37,0.050585
2000,38,0.050536
2000,39,0.050565
2000,40,0.050726
2000,41,0.050775
2000,42,0.059833
2000,43,0.051587
2000,44,0.051547
2000,45,0.050716
2000,46,0.050585
2000,47,0.050636
2000,48,0.050625
2000,49,0.050505
2000,50,0.050656
2000,51,0.050695
2000,52,0.050646
2000,53,0.050766
2000,54,0.050635
2000,55,0.057268
2000,56,0.052880
2000,57,0.051406
2000,58,0.050996
2000,59,0.051076
2000,60,0.051196
2000,61,0.050886
2000,62,0.102113
