family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,compile,641169,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,urdf,86573,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,sdf,67096,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,gazebo,155904,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,mjcf,32791,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,dot,9128,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,mermaid,13095,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,compile,642592,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,urdf,107853,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,sdf,97363,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,gazebo,213553,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,mjcf,44364,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,dot,11532,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,mermaid,28453,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,compile,878898,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,urdf,124245,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,sdf,90370,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,gazebo,226487,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,mjcf,48211,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,dot,12444,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,mermaid,18555,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,compile,917892,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,urdf,127029,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,sdf,99478,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,gazebo,217891,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,mjcf,45627,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,dot,12083,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,mermaid,18074,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,compile,908563,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,urdf,140304,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,sdf,99187,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,gazebo,223261,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,mjcf,45265,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,dot,11733,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,mermaid,17803,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,compile,907722,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,urdf,129695,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,sdf,97033,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,gazebo,221368,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,mjcf,45155,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,dot,12284,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,mermaid,17853,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,compile,869480,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,urdf,140235,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,sdf,100690,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,gazebo,224533,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,mjcf,46438,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,dot,12022,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,6,mermaid,17924,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,compile,894467,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,urdf,126108,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,sdf,98445,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,gazebo,227449,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,mjcf,39885,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,dot,10479,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,7,mermaid,15480,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,compile,830917,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,urdf,122451,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,sdf,68690,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,gazebo,161885,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,mjcf,32431,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,dot,8957,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,8,mermaid,13225,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,compile,639736,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,urdf,88947,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,sdf,66886,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,gazebo,153610,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,mjcf,31439,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,dot,9077,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,9,mermaid,12834,1772
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,compile,745035,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,urdf,112983,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,sdf,86283,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,gazebo,190008,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,mjcf,42810,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,dot,11923,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,0,mermaid,16541,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,compile,771134,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,urdf,108865,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,sdf,84980,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,gazebo,178637,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,mjcf,41989,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,dot,11732,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,1,mermaid,16030,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,compile,758129,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,urdf,108104,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,sdf,84961,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,gazebo,177645,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,mjcf,46027,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,dot,11612,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,2,mermaid,15860,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,compile,759102,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,urdf,107573,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,sdf,83076,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,gazebo,184719,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,mjcf,42039,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,dot,11672,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,3,mermaid,15780,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,compile,757037,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,urdf,107112,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,sdf,91884,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,gazebo,176333,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,mjcf,41889,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,dot,11832,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,4,mermaid,16071,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,compile,759593,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,urdf,107212,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,sdf,83468,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,gazebo,177504,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,mjcf,41488,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,dot,11682,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,5,mermaid,15990,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,compile,774261,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,urdf,107292,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,sdf,84640,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,gazebo,177615,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,mjcf,41468,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,dot,11551,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,6,mermaid,15910,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,compile,770844,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,urdf,111250,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,sdf,83998,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,gazebo,184178,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,mjcf,41398,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,dot,11662,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,7,mermaid,15920,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,compile,741188,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,urdf,113865,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,sdf,84820,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,gazebo,177445,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,mjcf,41127,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,dot,11672,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,8,mermaid,15840,2319
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,compile,771686,0
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,urdf,108214,14849
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,sdf,83247,20336
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,gazebo,181833,21682
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,mjcf,41518,7418
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,dot,11782,2350
quadruped,quadruped_d5_t0,22,21,2.0,11342,9,mermaid,15960,2319
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,compile,830446,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,urdf,112102,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,sdf,94909,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,gazebo,195329,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,mjcf,51047,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,dot,13064,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,0,mermaid,19016,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,compile,825016,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,urdf,124364,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,sdf,102474,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,gazebo,201961,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,mjcf,46799,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,dot,13044,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,1,mermaid,19286,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,compile,829334,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,urdf,123984,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,sdf,96281,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,gazebo,195018,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,mjcf,46608,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,dot,12994,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,2,mermaid,18886,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,compile,822041,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,urdf,122862,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,sdf,93667,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,gazebo,192724,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,mjcf,54523,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,dot,13245,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,3,mermaid,18645,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,compile,823233,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,urdf,128813,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,sdf,94248,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,gazebo,193835,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,mjcf,46408,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,dot,13095,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,4,mermaid,18726,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,compile,825838,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,urdf,122111,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,sdf,93807,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,gazebo,193645,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,mjcf,46498,8167
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,dot,13004,2625
quadruped,quadruped_d5_t3,25,24,2.0,12866,5,mermaid,18585,2576
quadruped,quadruped_d5_t3,25,24,2.0,12866,6,compile,832069,0
quadruped,quadruped_d5_t3,25,24,2.0,12866,6,urdf,121970,16854
quadruped,quadruped_d5_t3,25,24,2.0,12866,6,sdf,94368,22892
quadruped,quadruped_d5_t3,25,24,2.0,12866,6,gazebo,202952,24436
quadruped,quadruped_d5_t3,25,24,2.0,12866,6,mjcf,46107,8167
