family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
tree,tree_2_k3,2,1,2.0,995,3,mermaid,2274,348
tree,tree_2_k3,2,1,2.0,995,4,compile,268426,0
tree,tree_2_k3,2,1,2.0,995,4,urdf,17443,1174
tree,tree_2_k3,2,1,2.0,995,4,sdf,11562,1620
tree,tree_2_k3,2,1,2.0,995,4,gazebo,70613,2911
tree,tree_2_k3,2,1,2.0,995,4,mjcf,6993,670
tree,tree_2_k3,2,1,2.0,995,4,dot,1413,259
tree,tree_2_k3,2,1,2.0,995,4,mermaid,2284,348
tree,tree_2_k3,2,1,2.0,995,5,compile,264969,0
tree,tree_2_k3,2,1,2.0,995,5,urdf,19817,1174
tree,tree_2_k3,2,1,2.0,995,5,sdf,11612,1620
tree,tree_2_k3,2,1,2.0,995,5,gazebo,71064,2911
tree,tree_2_k3,2,1,2.0,995,5,mjcf,6883,670
tree,tree_2_k3,2,1,2.0,995,5,dot,1383,259
tree,tree_2_k3,2,1,2.0,995,5,mermaid,2204,348
tree,tree_2_k3,2,1,2.0,995,6,compile,271021,0
tree,tree_2_k3,2,1,2.0,995,6,urdf,18024,1174
tree,tree_2_k3,2,1,2.0,995,6,sdf,11672,1620
tree,tree_2_k3,2,1,2.0,995,6,gazebo,72266,2911
tree,tree_2_k3,2,1,2.0,995,6,mjcf,7113,670
tree,tree_2_k3,2,1,2.0,995,6,dot,1443,259
tree,tree_2_k3,2,1,2.0,995,6,mermaid,2244,348
tree,tree_2_k3,2,1,2.0,995,7,compile,261934,0
tree,tree_2_k3,2,1,2.0,995,7,urdf,17223,1174
tree,tree_2_k3,2,1,2.0,995,7,sdf,11422,1620
tree,tree_2_k3,2,1,2.0,995,7,gazebo,70483,2911
tree,tree_2_k3,2,1,2.0,995,7,mjcf,6993,670
tree,tree_2_k3,2,1,2.0,995,7,dot,1343,259
tree,tree_2_k3,2,1,2.0,995,7,mermaid,2164,348
tree,tree_2_k3,2,1,2.0,995,8,compile,265912,0
tree,tree_2_k3,2,1,2.0,995,8,urdf,17523,1174
tree,tree_2_k3,2,1,2.0,995,8,sdf,11522,1620
tree,tree_2_k3,2,1,2.0,995,8,gazebo,77155,2911
tree,tree_2_k3,2,1,2.0,995,8,mjcf,6803,670
tree,tree_2_k3,2,1,2.0,995,8,dot,1403,259
tree,tree_2_k3,2,1,2.0,995,8,mermaid,2215,348
tree,tree_2_k3,2,1,2.0,995,9,compile,284126,0
tree,tree_2_k3,2,1,2.0,995,9,urdf,18174,1174
tree,tree_2_k3,2,1,2.0,995,9,sdf,11722,1620
tree,tree_2_k3,2,1,2.0,995,9,gazebo,73869,2911
tree,tree_2_k3,2,1,2.0,995,9,mjcf,7364,670
tree,tree_2_k3,2,1,2.0,995,9,dot,1453,259
tree,tree_2_k3,2,1,2.0,995,9,mermaid,2384,348
tree,tree_5_k3,5,4,2.0,2474,0,compile,346143,0
tree,tree_5_k3,5,4,2.0,2474,0,urdf,30337,3150
tree,tree_5_k3,5,4,2.0,2474,0,sdf,22342,4305
tree,tree_5_k3,5,4,2.0,2474,0,gazebo,94017,5603
tree,tree_5_k3,5,4,2.0,2474,0,mjcf,13014,1541
tree,tree_5_k3,5,4,2.0,2474,0,dot,2836,484
tree,tree_5_k3,5,4,2.0,2474,0,mermaid,3967,555
tree,tree_5_k3,5,4,2.0,2474,1,compile,339050,0
tree,tree_5_k3,5,4,2.0,2474,1,urdf,30157,3150
tree,tree_5_k3,5,4,2.0,2474,1,sdf,42961,4305
