t,q_0,q_1,q_2,q_3,qd_0,qd_1,qd_2,qd_3,sp_0,sp_1,sp_2,sp_3,tau_0,tau_1,tau_2,tau_3
2.000000000000000042e-02,3.225741659944005219e-04,2.557612612240427186e-02,-5.574117783597687392e-02,1.407895694183465551e-01,4.383954745098572747e-02,1.436011720869326380e+00,-2.640929938891992457e+00,6.648065982311845090e+00,8.399798401451514379e-03,2.728380244107423969e-01,-4.345723046220855146e-01,1.126092224503851602e+00,8.399798401451514379e-03,2.728380244107423969e-01,-4.345723046220855146e-01,1.126092224503851602e+00
2.199999999999999872e-02,4.286346923176670106e-04,2.847880694897982415e-02,-6.094523599449231527e-02,1.539280984547512221e-01,5.303026316163323567e-02,1.451340413287775633e+00,-2.602029079257719868e+00,6.569264518202327707e+00,9.239731672737675622e-03,2.735240551124947239e-01,-4.349857863267724833e-01,1.126836730065930547e+00,8.399798401451514379e-03,2.728380244107423969e-01,-4.345723046220855146e-01,1.126092224503851602e+00
2.400000000000000050e-02,5.361202439068492092e-04,3.140194904124067599e-02,-6.606404657116304868e-02,1.668917324577582906e-01,5.374277579459111470e-02,1.461571046130425211e+00,-2.559405288335365736e+00,6.481817001503539899e+00,1.007965163881182832e-02,2.742099107588611973e-01,-4.353988330457094769e-01,1.127577584677989631e+00,1.007965163881182832e-02,2.742099107588611973e-01,-4.353988330457094769e-01,1.127577584677989631e+00
2.600000000000000228e-02,6.617139117760024352e-04,3.434442480332478009e-02,-7.111065569801054698e-02,1.797020044287898077e-01,6.279683393457662077e-02,1.471237881042050999e+00,-2.523304563423751201e+00,6.405135985515762798e+00,1.091955709018936106e-02,2.748955909108941054e-01,-4.358114443658496207e-01,1.128314785939660947e+00,1.007965163881182832e-02,2.742099107588611973e-01,-4.353988330457094769e-01,1.127577584677989631e+00
2.800000000000000058e-02,7.884765228955586437e-04,3.729723127109956654e-02,-7.607722758111455652e-02,1.923417568414372836e-01,6.338130555977812552e-02,1.476403233887394251e+00,-2.483285941552007436e+00,6.319876206323737478e+00,1.175944681740656930e-02,2.755810951297581468e-01,-4.362236198745817473e-01,1.129048331462412902e+00,1.175944681740656930e-02,2.755810951297581468e-01,-4.362236198745817473e-01,1.129048331462412902e+00
2.999999999999999889e-02,9.330789067494980231e-04,4.026030287939252189e-02,-8.097641365567975758e-02,2.048322730012984427e-01,7.230119192696966846e-02,1.481535804146478563e+00,-2.449593037282603802e+00,6.245258079930574802e+00,1.259931961102239185e-02,2.762664229767308188e-01,-4.366353591597303407e-01,1.129778218869558204e+00,1.175944681740656930e-02,2.755810951297581468e-01,-4.362236198745817473e-01,1.129048331462412902e+00
3.200000000000000067e-02,1.078603366976928473e-03,4.322560793390626405e-02,-8.580006155585347127e-02,2.171565316771784659e-01,7.276223011371517335e-02,1.482652527256872022e+00,-2.411823950086855906e+00,6.162129337940014828e+00,1.343917426162015601e-02,2.769515740132021397e-01,-4.370466618095561473e-01,1.130504445796262969e+00,1.343917426162015601e-02,2.769515740132021397e-01,-4.370466618095561473e-01,1.130504445796262969e+00
3.400000000000000244e-02,1.241704025414294525e-03,4.619394237010780724e-02,-9.056049309799456271e-02,2.293355678135841347e-01,8.155032921868304863e-02,1.484167218100771235e+00,-2.380215771070542718e+00,6.089518068202829149e+00,1.427900955980930531e-02,2.776365478006756482e-01,-4.374575274127565638e-01,1.131227009889552271e+00,1.343917426162015601e-02,2.769515740132021397e-01,-4.370466618095561473e-01,1.130504445796262969e+00
3.600000000000000422e-02,1.405489050199629827e-03,4.915806529430101490e-02,-9.524929934872064519e-02,2.413524981456463547e-01,8.189251239266763516e-02,1.482061462096602833e+00,-2.344403125363039297e+00,6.008465166031103699e+00,1.511882429622715164e-02,2.783213439007679590e-01,-4.378679555584660821e-01,1.131945908808319246e+00,1.511882429622715164e-02,2.783213439007679590e-01,-4.378679555584660821e-01,1.131945908808319246e+00
3.799999999999999906e-02,1.586591300623871109e-03,5.211947094661947139e-02,-9.987852553540284284e-02,2.532281105553400580e-01,9.055112521212060894e-02,1.480702826159227214e+00,-2.314613093341099326e+00,5.937806204846839186e+00,1.595861726154062382e-02,2.790059618752096515e-01,-4.382779458362564551e-01,1.132661140223331975e+00,1.511882429622715164e-02,2.783213439007679590e-01,-4.378679555584660821e-01,1.131945908808319246e+00
