config,delivery_median,delivery_iqr,delivery_worst,delivery_best,per_seed_delivery,return_median,n_seeds,skip,n_params
hsikan_pernode,0.0,0.0,0.0,0.0,"[0.0, 0.0]",-227.5,2,none,15106
mlp,0.0,0.0,0.0,0.0,"[0.0, 0.0]",-263.85,2,none,15296
