config,delivery_median,delivery_iqr,delivery_worst,delivery_best,per_seed_delivery,return_median,n_seeds,skip,n_params
sa_hsikan,0.175,0.075,0.15,0.2,"[0.15, 0.2]",-69.39,2,none,1416
mlp,0.15,0.15,0.1,0.2,"[0.1, 0.2]",-49.01,2,none,15296
