family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
chain,chain_1,1,0,0.0,496,15,sdf,12924,778
chain,chain_1,1,0,0.0,496,15,gazebo,104377,2057
chain,chain_1,1,0,0.0,496,15,mjcf,6523,356
chain,chain_1,1,0,0.0,496,15,dot,1282,182
chain,chain_1,1,0,0.0,496,15,mermaid,1563,277
chain,chain_1,1,0,0.0,496,16,compile,390607,0
chain,chain_1,1,0,0.0,496,16,urdf,19698,522
chain,chain_1,1,0,0.0,496,16,sdf,12764,778
chain,chain_1,1,0,0.0,496,16,gazebo,104376,2057
chain,chain_1,1,0,0.0,496,16,mjcf,6762,356
chain,chain_1,1,0,0.0,496,16,dot,1282,182
chain,chain_1,1,0,0.0,496,16,mermaid,1493,277
chain,chain_1,1,0,0.0,496,17,compile,380688,0
chain,chain_1,1,0,0.0,496,17,urdf,19737,522
chain,chain_1,1,0,0.0,496,17,sdf,12694,778
chain,chain_1,1,0,0.0,496,17,gazebo,102534,2057
chain,chain_1,1,0,0.0,496,17,mjcf,6392,356
chain,chain_1,1,0,0.0,496,17,dot,1313,182
chain,chain_1,1,0,0.0,496,17,mermaid,1493,277
chain,chain_1,1,0,0.0,496,18,compile,389534,0
chain,chain_1,1,0,0.0,496,18,urdf,19947,522
chain,chain_1,1,0,0.0,496,18,sdf,12694,778
chain,chain_1,1,0,0.0,496,18,gazebo,103285,2057
chain,chain_1,1,0,0.0,496,18,mjcf,6653,356
chain,chain_1,1,0,0.0,496,18,dot,1273,182
chain,chain_1,1,0,0.0,496,18,mermaid,1332,277
chain,chain_1,1,0,0.0,496,19,compile,380617,0
chain,chain_1,1,0,0.0,496,19,urdf,21901,522
chain,chain_1,1,0,0.0,496,19,sdf,12574,778
chain,chain_1,1,0,0.0,496,19,gazebo,102633,2057
chain,chain_1,1,0,0.0,496,19,mjcf,6582,356
chain,chain_1,1,0,0.0,496,19,dot,1293,182
chain,chain_1,1,0,0.0,496,19,mermaid,1342,277
chain,chain_1,1,0,0.0,496,20,compile,409663,0
