tool,family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
competitor,tree,tree_5_k3,5,4,2.0,2550,1,bundle_3fmt,397092815,0
competitor,tree,tree_5_k3,5,4,2.0,2550,2,xacro_urdf,67655038,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,2,gz_sdf,153517609,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,2,mujoco_mjcf,175313358,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,2,bundle_3fmt,398111490,0
competitor,tree,tree_5_k3,5,4,2.0,2550,3,xacro_urdf,67425233,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,3,gz_sdf,152933242,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,3,mujoco_mjcf,172253287,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,3,bundle_3fmt,392868317,0
competitor,tree,tree_5_k3,5,4,2.0,2550,4,xacro_urdf,73572061,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,4,gz_sdf,144510809,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,4,mujoco_mjcf,169479509,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,4,bundle_3fmt,390063697,0
competitor,chain,chain_10,10,9,2.0,5474,0,xacro_urdf,72031905,6666
competitor,chain,chain_10,10,9,2.0,5474,0,gz_sdf,171157320,13904
competitor,chain,chain_10,10,9,2.0,5474,0,mujoco_mjcf,208632168,2866
competitor,chain,chain_10,10,9,2.0,5474,0,bundle_3fmt,404794637,0
competitor,chain,chain_10,10,9,2.0,5474,1,xacro_urdf,72263974,6666
competitor,chain,chain_10,10,9,2.0,5474,1,gz_sdf,153201423,13904
competitor,chain,chain_10,10,9,2.0,5474,1,mujoco_mjcf,177835911,2866
competitor,chain,chain_10,10,9,2.0,5474,1,bundle_3fmt,465437834,0
competitor,chain,chain_10,10,9,2.0,5474,2,xacro_urdf,72726669,6666
competitor,chain,chain_10,10,9,2.0,5474,2,gz_sdf,167915405,13904
competitor,chain,chain_10,10,9,2.0,5474,2,mujoco_mjcf,194012599,2866
competitor,chain,chain_10,10,9,2.0,5474,2,bundle_3fmt,427687711,0
competitor,chain,chain_10,10,9,2.0,5474,3,xacro_urdf,71216762,6666
competitor,chain,chain_10,10,9,2.0,5474,3,gz_sdf,167232402,13904
competitor,chain,chain_10,10,9,2.0,5474,3,mujoco_mjcf,176041674,2866
competitor,chain,chain_10,10,9,2.0,5474,3,bundle_3fmt,445193419,0
competitor,chain,chain_10,10,9,2.0,5474,4,xacro_urdf,71643689,6666
competitor,chain,chain_10,10,9,2.0,5474,4,gz_sdf,158718916,13904
competitor,chain,chain_10,10,9,2.0,5474,4,mujoco_mjcf,170905288,2866
competitor,chain,chain_10,10,9,2.0,5474,4,bundle_3fmt,404386286,0
competitor,tree,tree_10_k3,10,9,2.0,5276,0,xacro_urdf,69261521,6471
competitor,tree,tree_10_k3,10,9,2.0,5276,0,gz_sdf,174262246,13426
competitor,tree,tree_10_k3,10,9,2.0,5276,0,mujoco_mjcf,207768260,2638
competitor,tree,tree_10_k3,10,9,2.0,5276,0,bundle_3fmt,420428635,0
competitor,tree,tree_10_k3,10,9,2.0,5276,1,xacro_urdf,72435935,6471
competitor,tree,tree_10_k3,10,9,2.0,5276,1,gz_sdf,164808751,13426
competitor,tree,tree_10_k3,10,9,2.0,5276,1,mujoco_mjcf,173730787,2638
competitor,tree,tree_10_k3,10,9,2.0,5276,1,bundle_3fmt,401972580,0
competitor,tree,tree_10_k3,10,9,2.0,5276,2,xacro_urdf,71053579,6471
competitor,tree,tree_10_k3,10,9,2.0,5276,2,gz_sdf,159977802,13426
competitor,tree,tree_10_k3,10,9,2.0,5276,2,mujoco_mjcf,178570870,2638
competitor,tree,tree_10_k3,10,9,2.0,5276,2,bundle_3fmt,391195933,0
competitor,tree,tree_10_k3,10,9,2.0,5276,3,xacro_urdf,70626160,6471
competitor,tree,tree_10_k3,10,9,2.0,5276,3,gz_sdf,158663523,13426
competitor,tree,tree_10_k3,10,9,2.0,5276,3,mujoco_mjcf,222913032,2638
competitor,tree,tree_10_k3,10,9,2.0,5276,3,bundle_3fmt,400660633,0
competitor,tree,tree_10_k3,10,9,2.0,5276,4,xacro_urdf,69946233,6471
competitor,tree,tree_10_k3,10,9,2.0,5276,4,gz_sdf,167472494,13426
competitor,tree,tree_10_k3,10,9,2.0,5276,4,mujoco_mjcf,178120324,2638
competitor,tree,tree_10_k3,10,9,2.0,5276,4,bundle_3fmt,413581308,0
competitor,chain,chain_20,20,19,2.0,11162,0,xacro_urdf,75497302,13104
competitor,chain,chain_20,20,19,2.0,11162,0,gz_sdf,175165192,28448
competitor,chain,chain_20,20,19,2.0,11162,0,mujoco_mjcf,195055625,6864
competitor,chain,chain_20,20,19,2.0,11162,0,bundle_3fmt,435419466,0
competitor,chain,chain_20,20,19,2.0,11162,1,xacro_urdf,74146285,13104
competitor,chain,chain_20,20,19,2.0,11162,1,gz_sdf,175084467,28448
competitor,chain,chain_20,20,19,2.0,11162,1,mujoco_mjcf,176627196,6864
competitor,chain,chain_20,20,19,2.0,11162,1,bundle_3fmt,433696163,0
competitor,chain,chain_20,20,19,2.0,11162,2,xacro_urdf,73184856,13104
competitor,chain,chain_20,20,19,2.0,11162,2,gz_sdf,191333249,28448
competitor,chain,chain_20,20,19,2.0,11162,2,mujoco_mjcf,198213072,6864
competitor,chain,chain_20,20,19,2.0,11162,2,bundle_3fmt,426423774,0
competitor,chain,chain_20,20,19,2.0,11162,3,xacro_urdf,74178194,13104
competitor,chain,chain_20,20,19,2.0,11162,3,gz_sdf,186233391,28448
competitor,chain,chain_20,20,19,2.0,11162,3,mujoco_mjcf,177881494,6864
competitor,chain,chain_20,20,19,2.0,11162,3,bundle_3fmt,425149589,0
competitor,chain,chain_20,20,19,2.0,11162,4,xacro_urdf,73477498,13104
competitor,chain,chain_20,20,19,2.0,11162,4,gz_sdf,177989496,28448
competitor,chain,chain_20,20,19,2.0,11162,4,mujoco_mjcf,169731887,6864
competitor,chain,chain_20,20,19,2.0,11162,4,bundle_3fmt,437167225,0
competitor,tree,tree_20_k3,20,19,2.0,10758,0,xacro_urdf,77396550,12703
competitor,tree,tree_20_k3,20,19,2.0,10758,0,gz_sdf,174351313,27478
competitor,tree,tree_20_k3,20,19,2.0,10758,0,mujoco_mjcf,225610977,5466
competitor,tree,tree_20_k3,20,19,2.0,10758,0,bundle_3fmt,437752264,0
competitor,tree,tree_20_k3,20,19,2.0,10758,1,xacro_urdf,73027285,12703
competitor,tree,tree_20_k3,20,19,2.0,10758,1,gz_sdf,178927727,27478
competitor,tree,tree_20_k3,20,19,2.0,10758,1,mujoco_mjcf,196024724,5466
competitor,tree,tree_20_k3,20,19,2.0,10758,1,bundle_3fmt,547343121,0
competitor,tree,tree_20_k3,20,19,2.0,10758,2,xacro_urdf,77145553,12703
competitor,tree,tree_20_k3,20,19,2.0,10758,2,gz_sdf,176329310,27478
competitor,tree,tree_20_k3,20,19,2.0,10758,2,mujoco_mjcf,173363390,5466
competitor,tree,tree_20_k3,20,19,2.0,10758,2,bundle_3fmt,502874447,0
competitor,tree,tree_20_k3,20,19,2.0,10758,3,xacro_urdf,75058826,12703
competitor,tree,tree_20_k3,20,19,2.0,10758,3,gz_sdf,178089697,27478
competitor,tree,tree_20_k3,20,19,2.0,10758,3,mujoco_mjcf,189520347,5466
competitor,tree,tree_20_k3,20,19,2.0,10758,3,bundle_3fmt,478327935,0
competitor,tree,tree_20_k3,20,19,2.0,10758,4,xacro_urdf,79064461,12703
competitor,tree,tree_20_k3,20,19,2.0,10758,4,gz_sdf,182822406,27478
competitor,tree,tree_20_k3,20,19,2.0,10758,4,mujoco_mjcf,215492388,5466
competitor,tree,tree_20_k3,20,19,2.0,10758,4,bundle_3fmt,439214300,0
competitor,chain,chain_50,50,49,2.0,28232,0,xacro_urdf,82765640,32424
competitor,chain,chain_50,50,49,2.0,28232,0,gz_sdf,272750000,71987
competitor,chain,chain_50,50,49,2.0,28232,0,mujoco_mjcf,219350341,24862
competitor,chain,chain_50,50,49,2.0,28232,0,bundle_3fmt,586172680,0
competitor,chain,chain_50,50,49,2.0,28232,1,xacro_urdf,83717981,32424
competitor,chain,chain_50,50,49,2.0,28232,1,gz_sdf,256303741,71987
competitor,chain,chain_50,50,49,2.0,28232,1,mujoco_mjcf,180053905,24862
competitor,chain,chain_50,50,49,2.0,28232,1,bundle_3fmt,570580324,0
competitor,chain,chain_50,50,49,2.0,28232,2,xacro_urdf,80363756,32424
competitor,chain,chain_50,50,49,2.0,28232,2,gz_sdf,252493622,71987
competitor,chain,chain_50,50,49,2.0,28232,2,mujoco_mjcf,178704821,24862
competitor,chain,chain_50,50,49,2.0,28232,2,bundle_3fmt,560874439,0
competitor,chain,chain_50,50,49,2.0,28232,3,xacro_urdf,83426508,32424
competitor,chain,chain_50,50,49,2.0,28232,3,gz_sdf,256090862,71987
competitor,chain,chain_50,50,49,2.0,28232,3,mujoco_mjcf,176495719,24862
competitor,chain,chain_50,50,49,2.0,28232,3,bundle_3fmt,564923010,0
competitor,chain,chain_50,50,49,2.0,28232,4,xacro_urdf,91176594,32424
competitor,chain,chain_50,50,49,2.0,28232,4,gz_sdf,256718955,71987
competitor,chain,chain_50,50,49,2.0,28232,4,mujoco_mjcf,188877686,24862
competitor,chain,chain_50,50,49,2.0,28232,4,bundle_3fmt,541425953,0
competitor,tree,tree_50_k3,50,49,2.0,27222,0,xacro_urdf,83406988,31417
competitor,tree,tree_50_k3,50,49,2.0,27222,0,gz_sdf,260039913,69565
competitor,tree,tree_50_k3,50,49,2.0,27222,0,mujoco_mjcf,178942113,14414
competitor,tree,tree_50_k3,50,49,2.0,27222,0,bundle_3fmt,524567126,0
competitor,tree,tree_50_k3,50,49,2.0,27222,1,xacro_urdf,80275124,31417
competitor,tree,tree_50_k3,50,49,2.0,27222,1,gz_sdf,253381036,69565
competitor,tree,tree_50_k3,50,49,2.0,27222,1,mujoco_mjcf,178396338,14414
competitor,tree,tree_50_k3,50,49,2.0,27222,1,bundle_3fmt,527308054,0
competitor,tree,tree_50_k3,50,49,2.0,27222,2,xacro_urdf,82445257,31417
competitor,tree,tree_50_k3,50,49,2.0,27222,2,gz_sdf,265754654,69565
